dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
2007.01,0.01303,0.00610,0.01124,0.00487,5.26,63.30,0.111244,0.013175,0.33647,0.00959,0.012427,0.01703,0.01981,0.02200,0.02552
2007.02,0.01119,0.00574,0.00632,0.00513,5.25,63.00,0.150207,0.014989,-0.55962,0.01382,0.013851,0.00607,-0.00132,-0.01051,-0.01716
2007.03,0.01031,0.00626,0.01219,0.00698,5.07,62.80,0.185077,0.026273,-0.28768,0.01529,0.015509,0.01725,0.03208,0.02470,0.03947
2007.04,-0.00058,-0.00428,0.01077,0.00661,4.50,62.80,0.075247,0.020019,0.00000,0.01161,0.017153,0.01916,0.04568,0.02249,0.04756
2008.01,0.01077,0.00594,0.01293,0.00434,3.18,62.80,0.235502,0.025958,-0.40547,0.07240,0.110007,0.01996,0.03193,0.05903,0.07059
2008.02,0.00224,-0.00527,0.01529,0.00645,2.09,62.50,-0.049444,0.007538,0.69315,-0.02463,-0.061711,0.01035,-0.00931,0.03906,0.02283
2008.03,-0.01971,-0.02213,-0.02316,0.00245,1.94,62.00,-0.703713,0.006299,0.22314,0.04045,-0.000388,0.06060,0.06200,0.10707,0.10381
2008.04,-0.01221,-0.01141,-0.00690,0.00419,0.51,61.40,-0.306533,-0.006482,0.58779,0.01475,0.039872,0.05620,0.08374,0.08840,0.10816
2009.01,-0.00345,-0.00179,0.00531,0.00508,0.18,60.30,0.326379,0.002927,-2.19722,0.02627,0.058994,0.03832,0.02713,0.06491,0.05873
2009.02,0.00469,0.00350,0.00853,0.00296,0.18,59.60,0.135796,0.001852,1.38629,-0.00698,0.002335,0.03817,0.01999,0.03841,0.02153
2009.03,0.01391,0.01075,0.00782,0.00509,0.16,59.00,0.109209,-0.018093,0.55962,0.00916,0.007816,0.03078,0.03296,0.03295,0.03263
2009.04,0.00771,0.00483,0.00157,0.00018,0.12,58.50,0.033099,-0.018323,-0.15415,0.01945,0.041243,0.03007,0.02695,0.03484,0.03573
2010.01,0.01450,0.00963,-0.00032,0.00122,0.13,58.50,-0.009456,-0.012596,-1.09861,0.01158,0.009431,0.03898,0.03320,0.06360,0.06038
2010.02,0.01072,0.00768,0.00290,0.00244,0.19,58.60,-0.022330,-0.002713,-0.69315,-0.00806,0.012396,0.03274,0.04959,0.05096,0.06468
2010.03,0.01103,0.00524,0.00809,0.00261,0.19,58.50,0.110036,0.017292,1.60944,0.00161,0.004567,0.03116,0.04511,0.04516,0.05717
2010.04,0.00274,-0.00238,0.01059,0.00472,0.19,58.30,0.100078,0.000811,0.18232,0.00226,0.000388,0.03234,0.01159,0.02151,0.00365
2011.01,0.01333,0.00674,0.01133,0.00465,0.16,58.40,0.087268,0.009794,0.40547,0.00995,0.009942,0.01735,0.00902,-0.00820,-0.01836
2011.02,0.00578,-0.00022,0.00648,0.00680,0.09,58.30,-0.133768,0.019012,-0.58779,-0.00912,-0.017168,0.00647,0.02018,-0.01858,-0.01153
